收盘价,成交量
2266.046,192124869
2235.511,129166583
2217.2,105202496
2195.818,124229014
2209.465,120885885
2207.106,163507424
2229.274,162119578
2240.812,160111672
2230.458,165733498
2240.211,167658383
2245.33,177744592
2239.466,163928626
2226.734,149978691
2206.466,170149123
2222.877,178062806
2221.595,154799046
2224.654,150583421
2194.425,135181443
2187.669,175233274
2217.465,177711707
2219.945,175386987
2223.331,174097403
2185.303,191475042
2201.562,164691654
2181.243,184922187
2183.192,200264257
2177.948,236185752
2126.614,142495826
2105.062,165676996
2078.489,137292211
2075.481,123191868
2054.479,93857870
2059.067,106641094
2055.591,104491812
2067.276,137128020
2070.357,124488768
2066.646,115119740
2046.961,105088083
2038.342,97943819
2038.612,113305841
2064.021,95053393
2059.927,97168754
2059.375,105008792
2063.229,122926582
2059.418,109553911
2050.381,98457409
2048.327,96666598
2036.51,97592017
2038.677,80955778
2025.502,67539610
2033.931,71214634
2024.365,70485162
2026.674,67167246
2023.735,92914274
2055.519,87245350
2066.698,87800481
2085.983,95939770
2070.715,97174806
2051.713,81711186
2054.948,74444354
2052.532,79623717
2030.502,64788317
2029.956,66021744
2040.878,67949536
2024.834,72412771
2038.305,71584124
2039.212,75148898
2040.595,81242921
2050.228,81338642
2034.565,67577889
2041.476,70281220
2034.569,63488065
2021.285,74728474
2024.951,61811547
2008.119,61345382
2005.183,65329438
2026.504,66353660
2024.974,75845154
2047.91,72011125
2050.728,97223388
2052.871,115742077
2011.135,76224244
2015.274,77865393
2010.083,74360192
2028.038,74609411
2027.353,79933395
2026.358,74528578
2020.341,76221275
2003.487,89795262
2036.519,93042333
2057.033,78185955
2067.382,78531521
2072.831,98719882
2065.826,96378369
2097.748,88155695
2098.885,89896325
2105.122,89361657
2101.601,107531151
2131.539,102077853
2130.542,131768359
2134.3,156789609
2105.237,105340471
2098.284,133370983
2058.831,83189056
2043.702,108618421
2058.988,102658525
2047.46,83286576
2033.306,94356536
2041.712,121681965
2046.588,119149374
2063.67,102611116
2067.311,131822232
2066.279,147700085
2047.619,144477656
1993.479,110333048
2021.734,95180797
2025.196,96777193
2023.673,86250374
2004.339,87775111
2019.111,100978116
1997.692,101361719
2001.157,92705265
1999.065,115696666
2057.908,103709540
2059.578,109290133
2053.084,107733082
2071.473,115925792
2075.235,127460891
2056.302,111637907
2047.354,132163852
2041.254,110112687
2034.219,140132978
2076.686,123555308
2113.693,117662651
2138.782,157052276
2142.554,151261246
2119.066,142869308
2135.415,140244443
2115.848,111517950
2098.401,146532634
2109.955,126333186
2103.671,142211324
2086.067,124331833
2044.497,73598755
2033.083,62615184
2049.914,73865462
2038.513,72529043
2033.3,88815426
2054.392,92947921
2042.18,84210585
2051.749,98892856
2008.313,59844911
1991.253,56271247
2004.949,67305720
2023.701,72755719
2023.348,67436222
2026.842,70366614
2009.564,66544776
2013.298,75616121
2027.622,75941883
2044.34,71647364
2047.317,63402938
2045.709,89587608
2083.136,84497241
2109.387,68485486
2115.978,80474375
2097.529,74085056
2101.251,76756827
2073.099,78541408
2106.354,65139096
2092.905,70251467
2089.707,68146636
2084.794,86775212
2127.792,73123479
2148.285,64173584
2151.079,78578936
2160.861,101387594
2196.075,85101012
2202.796,86108671
2204.166,109473150
2237.492,109043133
2238.2,93273639
2237.108,103700929
2247.063,122048414
2251.762,157292943
2222.67,113506410
2207.371,174281990
2220.504,106959053
2219.372,134456777
2201.07,115384411
2183.073,100460830
2186.115,108282655
2196.378,113866457
2205.766,137245516
2206.613,118961861
2193.125,125082307
2197.219,157502714
2135.827,125894520
2100.506,83799373
2087.941,88257094
2126.772,79446731
2109.471,69678299
2106.127,83096859
2129.4,81842610
2139.607,100487344
2157.24,91900031
2149.634,76147941
2149.562,89118477
2141.614,108063020
2160.463,119643362
2128.864,143092811
2133.869,88401322
2132.955,113924520
2164.322,103008953
2183.107,146347090
2210.652,149132831
2229.237,136694408
2193.78,103724631
2188.542,126767944
2193.074,154638637
2233.412,153722825
2237.773,165983386
2228.146,156892176
2190.929,149775896
2211.769,130871737
2198.199,126710203
2174.665,92810081
2160.027,105401788
2155.809,140415346
2198.515,160212762
2207.531,160415055
2221.044,133174858
2191.851,115111887
2185.56,154542555
2231.401,154884020
2236.217,171984229
2255.605,209715110
2241.268,244349455
2237.984,237206649
2212.516,219427086
2139.993,143260660
2122.43,126544104
2127.618,142000386
2123.112,138893175
2098.448,149158524
2098.382,170075649
2097.227,133268219
2101.301,161392026
2103.567,126341966
2096.474,119932652
2057.458,112426351
2067.124,90928307
2072.961,87445991
2072.595,107381773
2085.602,97446783
2068.452,153063326
2081.88,99396656
2100.137,114437802
2106.156,117708875
2101.283,135128974
2052.235,95316423
2044.895,84133290
2046.778,107712594
2060.5,105580975
2050.481,85517968
2029.418,93592767
2029.067,91256686
1993.799,70160603
1990.064,77219784
1976.306,78683274
2010.85,73800429
2021.174,98545366
2033.329,106655779
2043.876,109517360
2004.762,82922190
1992.648,104577571
2023.396,92132049
2044.922,103251321
2065.72,96737399
2059.39,101470357
2039.486,121174175
2072.991,159970773
2008.126,89797981
1965.454,64538733
1958.273,84136491
2007.199,91345222
2006.098,100394183
1994.268,93466471
2006.56,86415418
1995.242,78051393
1979.206,100737968
1950.013,105813318
1951.495,101192527
1959.508,138158516
1963.235,109198215
2073.095,79673224
2084.021,77787930
2143.454,75425016
2159.291,69632271
2156.215,75757790
2162.041,77857472
2148.355,94371094
2210.898,89978077
2242.11,81538694
2270.931,76483303
2272.416,101895818
2299.252,96882814
2300.595,108162554
2317.749,111913032
2324.017,125250729
2321.318,132632995
2293.077,107325061
2288.533,101441213
2275.667,124019844
2302.403,128360026
2305.114,124173176
2299.986,139150514
2282.87,126126006
2251.806,110284376
2224.797,71722893
2217.01,83244975
2241.92,86211224
2246.831,90335476
2232.971,98531637
2246.3,90371933
2235.575,86452356
2231.166,92268146
2205.497,88583464
2174.123,68337936
2177.912,76673970
2199.307,96704188
2218.318,91600261
2184.538,96541315
2242.169,95233730
2244.643,109660556
2197.602,71616927
2193.796,68314181
2194.846,79992178
2181.942,71632323
2206.78,66846340
2219.553,73632704
2226.126,80619621
2225.775,82896544
2211.592,86257470
2225.295,81795267
2227.74,89714323
2234.395,77411774
2236.621,85565473
2236.302,127658698
2301.259,96331195
2297.669,104449015
2326.715,97031526
2328.278,101167299
2324.242,119200910
2317.374,131241284
2257.434,87582105
2240.016,93122772
2278.401,116477813
2270.277,80294086
2263.968,90972788
2286.605,117664456
2310.593,84111903
2318.611,98794148
2324.293,139756348
2347.179,141333692
2326.306,131136598
2273.404,161750025
2359.506,120312752
2365.593,126950494
2313.22,97824887
2293.341,117638667
2325.819,88367374
2314.164,96981828
2325.951,144059478
2397.178,110280577
2382.914,123473334
2421.558,116174994
2432.402,109070386
2418.53,120008634
2434.477,116579966
2433.13,150754505
2428.154,167551402
2419.02,140818172
2385.422,139707892
2382.475,149878907
2358.977,141853934
2346.505,128383760
2291.304,92605741
2302.598,161031674
2320.911,118179722
2315.139,149466584
2328.221,134680458
2317.07,125438026
2284.909,119101835
2309.499,153511167
2325.682,165645981
2311.74,144749889
2242.997,125068275
2283.658,120066676
2275.34,122014924
2276.07,122907877
2285.364,118162813
2276.992,139469931
2269.128,128031402
2233.252,115924934
2205.897,129023501
2219.132,121858630
2213.611,143327708
2159.053,78469664
2153.31,103372872
2168.353,99384183
2162.239,94391522
2162.464,126099467
2160.342,144242218
2150.625,160873812
2061.476,72272324
2082.726,78559142
2074.704,93370830
2083.77,115383226
2061.786,115157289
2029.237,81459219
2031.907,119973040
1975.143,62378123
1959.767,61653375
1980.117,56893416
1963.488,49540088
1973.523,50505587
1991.165,56627422
2017.464,44779551
2027.384,51551469
2015.611,45577847
2030.319,53282021
2008.923,42580635
2016.982,45327018
2014.725,49581680
2030.29,50556857
2055.419,48093000
2047.889,61087293
2079.274,56694855
2069.067,54223460
2071.509,66594561
2105.73,59380128
2105.999,71343850
2114.027,71538762
2117.046,76557220
2104.428,82886670
2068.88,59527234
2062.347,60569092
2058.943,53635009
2066.209,78606435
2101.58,85393109
2115.99,72886618
2114.447,72683806
2132.758,60117222
2128.302,67641279
2131.688,87191092
2105.618,59874065
2098.808,57818438
2098.703,53940751
2104.932,68262972
2102.868,74497029
2119.942,78912035
2115.23,84563788
2074.419,55131612
2086.169,79448952
2056.323,76691457
2004.172,50400828
2029.293,48219408
2033.192,57637779
2026.69,60289456
2024.837,67482659
2067.831,52243629
2059.543,53794850
2078.5,76392233
2123.847,91248271
2110.379,79044972
2126.554,84114742
2120.554,80426638
2134.893,103580026
2127.762,139932624
2051.918,56091817
2037.681,57649803
2043.649,57462184
2059.147,60635498
2047.522,46143904
2052.585,61963792
2053.235,52209808
2073.154,54422104
2055.708,60314833
2092.104,60178948
2113.072,58472299
2107.711,58441412
2118.268,60756505
2106.957,46717499
2114.891,44390634
2112.197,45173009
2118.945,54609394
2142.525,67571589
2136.078,71352322
2168.814,68368559
2174.102,72529246
2160.99,72869536
2157.62,75049798
2154.916,71843204
2132.796,53371329
2111.182,53467539
2123.36,53804602
2103.634,53456097
2109.914,51992383
2128.765,52076920
2126.004,52884076
2136.151,48575894
2146.589,54411286
2141.402,55677081
2168.638,64346672
2184.841,79338049
2169.099,66552659
2161.186,55184408
2147.955,67487681
2185.895,57546838
2185.491,82133762
2175.383,58614472
2164.437,58993972
2170.814,75111472
2223.579,76557917
2201.353,57967934
2227.315,55273656
2229.193,62703021
2226.11,62196207
2225.431,61441886
2195.843,54182183
2216.934,51049128
2222.067,52940798
2224.114,59768952
2260.877,58992012
2292.877,54103955
2300.795,60135905
